,Age,EdLevel,YearsExp,YearsProExp,PreviousSalary,NumSkills,Employed
0,0,4,7,4,51552,4,0
1,0,3,12,5,46482,12,1
2,0,4,15,6,77290,7,0
3,0,3,9,6,46135,13,0
5,0,4,9,2,38915,5,0
6,1,4,26,18,77831,17,1
7,0,4,14,5,81319,4,0
8,1,3,39,21,68507,3,0
9,1,4,20,16,37752,6,0
10,0,3,4,2,122580,18,1
11,0,3,6,2,11832,13,1
12,0,4,19,10,60535,5,0
13,0,3,8,0,103000,7,0
14,0,4,6,3,25944,5,0
15,1,3,22,15,60480,16,1
16,0,1,7,1,20556,5,0
17,0,3,12,6,25944,25,1
18,1,4,34,12,64630,14,1
19,1,4,21,16,54049,17,1
20,0,1,5,3,22644,12,0
21,1,1,25,10,71850,6,0
22,1,4,20,10,58373,7,1
23,1,3,24,18,129266,12,0
24,0,4,10,2,25944,7,0
25,1,3,25,15,105000,6,0
27,1,5,10,8,151263,8,0
28,1,3,10,3,40500,8,0
29,0,3,12,7,43908,24,1
30,0,4,25,6,42336,21,1
31,1,1,31,17,95295,10,1
32,0,5,18,1,100000,8,0
33,1,3,26,14,61398,10,1
34,0,2,20,10,108098,17,1
35,0,3,10,4,27336,21,1
36,0,4,10,7,5216,4,0
37,0,4,8,3,151337,11,0
38,0,1,18,8,24648,18,1
39,0,3,4,1,7788,5,0
41,0,3,10,3,64630,8,1
42,0,3,10,8,38915,13,1
43,0,3,8,3,4944,11,0
45,0,4,13,2,14268,17,1
46,0,3,10,2,43239,17,1
47,0,2,3,0,48,8,0
48,0,3,12,6,140000,14,1
49,0,1,6,4,14124,26,1
50,1,1,6,5,101916,7,0
51,0,4,17,8,21000,7,0
52,0,3,7,1,54000,10,1
54,0,3,17,5,36324,23,1
55,0,3,1,3,38778,20,1
56,0,1,5,3,48600,28,1
57,1,4,30,25,59454,10,1
58,0,3,4,2,14652,8,0
60,0,4,27,11,97288,22,1
61,0,1,15,5,75492,6,0
62,0,4,2,2,36000,5,0
63,0,4,7,5,49725,12,1
64,1,3,31,25,70047,11,1
65,0,3,15,4,98500,23,1
66,0,3,20,7,2340,19,1
68,0,4,9,6,43908,13,1
69,0,3,8,7,103408,15,1
70,0,4,13,8,42000,18,1
71,0,3,7,4,105072,2,0
73,1,3,8,4,17412,6,0
74,0,1,4,2,14844,9,0
75,1,4,3,3,98321,5,0
76,1,1,16,14,54049,17,1
77,1,4,26,24,115784,15,1
78,0,3,10,6,56616,11,0
79,0,3,14,11,69183,7,0
80,1,3,24,18,25944,12,1
81,1,1,35,25,60752,4,0
82,1,3,6,3,16704,22,0
83,1,3,23,15,81420,18,0
84,0,3,7,3,14280,5,0
85,1,4,20,13,84019,15,1
86,1,3,20,18,63648,20,1
87,0,3,5,1,4620,17,1
88,0,4,10,9,70000,15,0
89,0,1,12,7,91883,20,0
90,0,4,3,2,30192,7,0
91,0,3,10,5,90000,12,1
92,1,3,20,20,21600,20,1
93,0,3,15,6,50592,9,1
95,0,4,9,2,193000,5,0
96,0,3,9,4,28536,14,0
97,1,4,4,2,96874,14,0
98,1,3,24,14,77556,15,1
99,1,3,21,14,103408,19,1
